process child ret  = 0
 CPU     ID                    FUNCTION:NAME
  nanosleep                                                         1
  printf                                                            1
  rt_critical                                                       1
  setup_schedctl                                                    1
  sleep                                                             1
  split                                                             1
  strlen                                                            1
  suspend_fork                                                      1
  syscall                                                           1
  tsort                                                             1
  tsort_unsigned                                                    1
  unused                                                            1
  write                                                             1
  _realbufend                                                       2
  call_array                                                        2
  dep_visit                                                         2
  ferror                                                            2
  initorfini                                                        2
  pthread_setcancelstate                                            2
  visit                                                             2
  ___errno                                                          3
  _dep_visit                                                        3
  _lookup_sym                                                       3
  bind_one                                                          3
  core_lookup_sym                                                   3
  elf_bndr                                                          3
  elf_hash                                                          3
  elf_rtbndr                                                        3
  getbucketnum                                                      3
  getxfdat                                                          3
  is_dep_init                                                       3
  lfree                                                             3
  load_completion                                                   3
  lookup_sym                                                        3
  memcpy                                                            4
  memset                                                            4
  _ti_bind_guard                                                    5
  enter                                                             5
  leave                                                             5
  rd_event                                                          5
  rt_bind_guard                                                     5
  callable                                                          6
  elf_find_sym                                                      6
  strcmp                                                            6
  lmutex_lock                                                       7
  lmutex_unlock                                                     7
  mutex_lock                                                        9
  mutex_lock_impl                                                   9
  mutex_unlock                                                      9
  _ti_bind_clear                                                   10
  rt_bind_clear                                                    10
  set_cancel_pending_flag                                          12
